PATH	BYTES	LOC	LAST_COMMIT_DATE	LAST_COMMIT_HASH	LAST_COMMIT_SUBJECT
src/lib/accessibility/popup-a11y.ts	20394	729	2026-01-16	c77a1ee9a	style: fix prettier formatting errors
src/lib/ai/content-assistant.ts	6739	270	2026-02-02	addbf613a	feat: Add AI content assistant and Y.js collaborative editing infrastructure
src/lib/analytics/ab-test-statistics.ts	14542	478	2026-01-16	c77a1ee9a	style: fix prettier formatting errors
src/lib/analytics/popup-heatmap.ts	18760	565	2026-01-16	c77a1ee9a	style: fix prettier formatting errors
src/lib/animations/appleAnimations.ts	18184	720	2026-01-16	c77a1ee9a	style: fix prettier formatting errors
src/lib/api/bannedEmails.ts	38444	1353	2026-05-17	9b80f76c4	Merge branch 'main' into claude/repo-audit-investigation-ejndf
src/lib/api/courses-enhanced.ts	16784	533	2026-02-04	5d6f5d653	fix: resolve lint errors and build issues
src/lib/api/enhanced-client.example.ts	13955	370	2026-05-17	e59f58dd8	fix(easy-win): clear remaining no-console to ZERO src warnings (480->0)
src/lib/api/enterprise/admin-adapter.ts	11648	330	2026-05-10	3c194f091	chore(repo): tidy root markdown, eslint override for tests/scripts
src/lib/api/indicators-enhanced.ts	18396	561	2026-02-04	5d6f5d653	fix: resolve lint errors and build issues
src/lib/api/learning-content.ts	5230	176	2026-01-17	2a50d6736	refactor(api): remove API_BASE_URL configuration and use same-origin endpoints across all API clients
src/lib/api/popup-branding.ts	18318	636	2026-01-16	c77a1ee9a	style: fix prettier formatting errors
src/lib/api/trading-room-sso.ts	5241	153	2026-05-10	3c194f091	chore(repo): tidy root markdown, eslint override for tests/scripts
src/lib/components/admin/BulkEditModal.svelte	18903	753	2026-04-26	106cfc625	refactor: update SvelteKit configuration and improve accessibility tests
src/lib/components/admin/BulkUploadQueue.svelte	16424	725	2026-04-26	8444ee2aa	feat: add stub pages for CRM managers, recurring campaigns, segments, and sequences
src/lib/components/admin/ConnectionGate.svelte	3244	108	2026-02-02	eecae5dcd	fix(svelte5): migrate all stores from exported $derived to getter functions
src/lib/components/admin/ScheduledPublishing.svelte	11770	543	2026-02-04	bab7c8605	Revert "feat(svelte5): Complete Svelte 5 runes migration - forensic audit"
src/lib/components/admin/TabPanel.svelte	11256	360	2026-04-25	05acf3231	chore: pnpm migration, dependency refresh, Svelte 5 idiom cleanup
src/lib/components/admin/VideoAnalyticsDashboard.svelte	19629	934	2026-04-28	1784ea33f	Refactor Svelte components to improve key tracking in each blocks
src/lib/components/admin/VideoChaptersEditor.svelte	13271	609	2026-04-26	8444ee2aa	feat: add stub pages for CRM managers, recurring campaigns, segments, and sequences
src/lib/components/ApexChartIcons.svelte	487	15	2026-04-28	41d5ad9de	chore(svelte): autofixer round 2 + security + a11y comprehensive audit
src/lib/components/blog/BlockEditor/GlobalComponentLibrary.svelte	43297	1953	2026-04-28	1784ea33f	Refactor Svelte components to improve key tracking in each blocks
src/lib/components/ChartIcons.svelte	7469	283	2026-04-28	41d5ad9de	chore(svelte): autofixer round 2 + security + a11y comprehensive audit
src/lib/components/ChartJsIcons.svelte	569	15	2026-04-28	41d5ad9de	chore(svelte): autofixer round 2 + security + a11y comprehensive audit
src/lib/components/cms/blocks/BlockLoader.svelte	5864	201	2026-02-06	afd6004a2	style: apply prettier formatting across entire codebase
src/lib/components/courses/CourseReviews.svelte	12694	668	2026-04-29	15f5693b5	chore(icons): Tabler migration — complete lib/components/ (96 files, ~350 icons)
src/lib/components/courses/QuizPlayer.svelte	15362	774	2026-04-29	15f5693b5	chore(icons): Tabler migration — complete lib/components/ (96 files, ~350 icons)
src/lib/components/dashboard/WatchHistory.svelte	12330	441	2026-04-29	15f5693b5	chore(icons): Tabler migration — complete lib/components/ (96 files, ~350 icons)
src/lib/components/DynamicIcon.svelte	4369	115	2026-02-04	eadb0c497	fix: update @tabler/icons-svelte imports to @tabler/icons-svelte-runes
src/lib/components/forms/ConditionalLogicBuilder.svelte	14908	635	2026-04-28	745d28449	svelte-check
src/lib/components/forms/fields/AddressAutocomplete.svelte	15717	668	2026-04-28	1784ea33f	Refactor Svelte components to improve key tracking in each blocks
src/lib/components/forms/fields/CalculatedField.svelte	9073	374	2026-04-26	106cfc625	refactor: update SvelteKit configuration and improve accessibility tests
src/lib/components/forms/FormAIAssistant.svelte	17316	838	2026-04-28	745d28449	svelte-check
src/lib/components/forms/FormAnalyticsDashboard.svelte	18237	816	2026-05-16	b019827b6	fix(quick-win): add keys to 4 unkeyed {#each} blocks
src/lib/components/forms/FormCollaborators.svelte	14564	700	2026-04-28	1784ea33f	Refactor Svelte components to improve key tracking in each blocks
src/lib/components/forms/FormEmbedGenerator.svelte	13426	661	2026-04-28	68c0d8b9d	fix(svelte): autofixer pass — 98 keyed {#each} blocks across 42 files
src/lib/components/forms/FormImportExport.svelte	16636	773	2026-04-28	68c0d8b9d	fix(svelte): autofixer pass — 98 keyed {#each} blocks across 42 files
src/lib/components/forms/RelatedForms.svelte	7992	405	2026-04-28	1784ea33f	Refactor Svelte components to improve key tracking in each blocks
